                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.1913,                0.93037,                 1.4527,                0.80567,                0.79028,                0.85077,                0.58255,                 1.0906,                0.73908,                 1.4171,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.1951,                0.93549,                  1.462,                 0.8107,                 0.7889,                0.85421,                0.58339,                 1.0882,                0.73621,                  1.425,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.1812,                0.91711,                 1.4475,                 0.8275,                0.78827,                0.86332,                0.59186,                 1.0843,                0.71188,                 1.4161,               0.000218,               0.000218,               0.000218
                     92,                 1.1957,                0.90236,                 1.4527,                0.81951,                 0.7973,                0.86518,                0.59348,                 1.0768,                0.71275,                 1.4101,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1814,                0.92842,                 1.4445,                0.82528,                0.79796,                 0.8657,                0.59705,                 1.0704,                0.70781,                 1.4072,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.1676,                0.89645,                 1.4412,                0.83182,                0.79569,                0.86865,                0.59709,                 1.0659,                0.70375,                 1.4038,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.1853,                0.91666,                  1.449,                0.83965,                0.78839,                0.86791,                0.60039,                 1.0674,                0.69943,                 1.4013,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.1714,                0.88246,                 1.4323,                0.84573,                0.79569,                0.87293,                0.60294,                 1.0639,                0.68918,                 1.4008,               0.000119,               0.000119,               0.000119
                     97,                 1.1668,                  0.876,                 1.4393,                0.84841,                0.80425,                0.87801,                0.60778,                 1.0532,                0.67955,                 1.3943,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.1651,                 0.8762,                 1.4388,                0.85355,                  0.804,                0.87856,                0.61079,                 1.0503,                0.68339,                 1.3933,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.1708,                0.88001,                 1.4295,                0.85252,                0.80136,                0.87791,                0.61011,                 1.0482,                0.67782,                 1.3912,               5.96e-05,               5.96e-05,               5.96e-05
